Destination Plate Type;Destination Plate Name;Sample name;Destination Well;Transfer Volume;Source Well;Source Plate Name;Source Plate Type
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;O1;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;P1;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A2;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B2;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;C2;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;D2;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;E2;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;F2;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;G2;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;H2;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;I2;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;J2;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;K2;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;L2;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;M2;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;N2;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;O2;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;P2;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;C3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;D3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;E3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;F3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;G3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;H3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;I3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;J3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;K3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;L3;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;M3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;N3;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;O3;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;P3;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;C4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;D4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;E4;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;F4;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;G4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;H4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;I4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;J4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;K4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;L4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;M4;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;N4;175;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;O4;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;P4;325;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A5;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B5;650;F16;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B9;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;C9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;D9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;E9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;F9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;G9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;H9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;I9;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;J9;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;K9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;L9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;M9;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;N9;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;O9;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;P9;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A10;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B10;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;C10;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;D10;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;E10;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;F10;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;G10;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;H10;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;I10;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;J10;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;K10;175;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;L10;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;M10;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;N10;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;O10;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;P10;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;C11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;D11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;E11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;F11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;G11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;H11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;I11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;J11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;K11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;L11;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;M11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;N11;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;O11;325;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;P11;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;A12;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;B12;650;F17;source1;384PP_Plus_AQ_GPSA
Greiner384_black_PS_Fbottom_781906;destination1;hepes well;C12;650;F17;source1;384PP_Plus_AQ_GPSA
