Day,Condition,hepes,k-glut,mg-acet,gsh,spermidine,fthf,cp,aa18,tyr,cys,atp-gtp,ctp-utp,tRNA,aaRS-mtf,IFs,EFs,RFs,t7pol,ndk-mk-ck-ppiase,factors,ribosomes,DNA,yield
6,17,2,6,0.5,1.25,0.1,2,2,10,16,1,3,1,7,0.2,0.4,0.5,0.025,0.1,0.05,0.4,6.7,0.1,0.939264859
1,17,1,6,1,2.5,0.4,2,2,5,8,2,3,4,1.75,0.1,0.4,1,0.2,0.05,0.05,0.2,3.33,0.1,0.930845148
6,11,2,3,2,1.25,0.1,0.5,8,5,8,1,3,1,7,0.2,0.8,1,0.1,0.025,0.05,0.4,6.7,0.1,0.928568385
7,18,2,1.5,1,2.5,0.1,1,4,5,8,0.5,3,2,3.5,0.1,0.4,1,0.05,0.1,0.1,0.2,20.1,0.1,0.920561735
6,12,4,1.5,1,5,0.2,1,8,5,8,0.5,1.5,1,7,0.1,0.4,1,0.05,0.1,0.05,0.4,6.7,0.1,0.91809677
7,23,4,3,1,5,0.2,1,2,10,8,1,3,2,3.5,0.1,0.4,1,0.1,0.1,0.1,0.1,6.7,0.1,0.917361922
8,8,1,3,2,1.25,0.1,1,4,5,16,1,1.5,1,7,0.2,0.4,1,0.05,0.1,0.2,0.1,6.7,0.1,0.904299781
2,43,2,3,4,5,0.1,0.5,2,5,8,4,12,2,1.75,0.1,0.4,1,0.1,0.05,0.05,0.1,6.7,0.1,0.893722062
1,TOP5,2,3,1,5,0.1,2,2,10,4,1,3,2,1.75,0.1,0.2,4,0.1,0.2,0.05,0.1,3.33,0.1,0.876214988
1,2,1,6,1,2.5,0.4,2,4,5,8,2,3,1,1.75,0.2,0.4,1,0.1,0.1,0.05,0.05,13.32,0.1,0.863085841
7,20,2,1.5,2,1.25,0.05,0.5,4,5,4,0.5,3,1,7,0.2,0.4,1,0.1,0.05,0.2,0.2,13.32,0.1,0.857083848
7,1,4,3,2,2.5,0.1,0.5,4,5,8,1,1.5,2,7,0.2,0.4,0.5,0.025,0.05,0.2,0.4,6.7,0.1,0.854579751
1,3,0.5,6,2,5,0.4,2,4,10,8,2,6,1,1.75,0.4,0.4,1,0.05,0.1,0.05,0.2,3.33,0.1,0.850945643
6,22,2,3,2,5,0.05,1,8,5,8,0.5,3,2,7,0.1,0.4,0.5,0.05,0.025,0.1,0.4,13.32,0.1,0.837830039
5,5,0.5,6,1,2.5,0.1,2,6,10,8,1,3,4,3.5,0.1,0.4,1,0.05,0.1,0.05,0.05,13.32,0.1,0.823375837
8,29,2,1.5,1,2.5,0.1,0.5,4,20,4,1,1.5,1,7,0.2,0.4,1,0.025,0.025,0.05,0.2,20.1,0.1,0.823079066
3,4,2,6,1,5,0.4,1,4,5,8,1,3,2,7,0.2,0.2,1,0.05,0.2,0.05,0.2,3.33,0.1,0.821896638
1,21,2,6,2,2.5,0.1,2,4,5,8,1,3,2,3.5,0.4,0.4,1,0.1,0.2,0.05,0.1,3.33,0.1,0.815273088
7,7,2,3,1,5,0.05,2,4,5,8,1,1.5,1,3.5,0.2,0.4,0.5,0.025,0.1,0.2,0.4,6.7,0.1,0.813223659
3,3,2,3,1,2.5,0.2,2,2,10,8,1,3,1,7,0.2,0.2,4,0.05,0.05,0.2,0.2,6.7,0.1,0.805150784
7,14,2,3,1,5,0.1,1,2,20,4,1,3,1,3.5,0.1,0.4,1,0.025,0.1,0.1,0.1,13.32,0.1,0.804782922
3,6,2,3,1,5,0.1,0.5,6,5,8,1,3,2,7,0.2,0.4,4,0.05,0.2,0.05,0.1,3.33,0.1,0.791217103
3,30,1,3,2,2.5,0.4,0.5,6,5,8,1,3,1,7,0.2,0.4,4,0.1,0.2,0.2,0.05,3.33,0.1,0.782682712
8,1,2,1.5,2,5,0.1,0.5,4,5,8,2,1.5,1,1.75,0.2,0.4,1,0.05,0.1,0.2,0.2,6.7,0.1,0.777257357
8,25,1,1.5,0.5,5,0.1,2,4,10,4,0.5,3,1,7,0.2,0.8,0.5,0.025,0.1,0.05,0.2,13.32,0.1,0.776337493
4,7,0.5,3,1,2.5,0.1,2,6,5,8,2,6,1,3.5,0.1,0.4,2,0.1,0.1,0.1,0.2,13.32,0.1,0.744779901
5,26,0.5,6,2,1.25,0.4,1,6,5,8,1,3,2,3.5,0.1,0.4,1,0.05,0.1,0.1,0.1,6.7,0.1,0.723002844
8,23,4,1.5,2,1.25,0.1,0.5,4,10,8,0.5,1.5,1,7,0.2,0.8,0.5,0.05,0.1,0.1,0.2,6.7,0.1,0.718585005
8,30,2,1.5,2,5,0.1,1,4,5,4,0.5,3,1,3.5,0.2,0.4,2,0.05,0.025,0.05,0.2,13.32,0.1,0.717521371
4,28,1,6,2,5,0.2,0.5,4,5,8,1,6,2,7,0.1,0.4,2,0.2,0.1,0.2,0.2,3.33,0.1,0.717167488
6,16,1,3,2,1.25,0.1,1,8,5,8,1,3,1,7,0.2,0.4,0.5,0.025,0.025,0.1,0.1,6.7,0.1,0.708660989
1,10,1,6,2,2.5,0.4,2,6,10,8,2,6,1,7,0.1,0.2,1,0.05,0.1,0.05,0.2,3.33,0.1,0.695600385
7,11,4,3,1,1.25,0.2,2,2,5,16,0.5,1.5,2,7,0.2,0.4,1,0.025,0.1,0.1,0.4,6.7,0.1,0.688156051
4,27,0.5,3,1,1.25,0.1,1,4,20,8,4,3,1,3.5,0.1,0.4,1,0.1,0.1,0.1,0.2,3.33,0.1,0.676054706
8,26,1,1.5,2,5,0.2,0.5,4,5,4,2,1.5,1,3.5,0.1,0.8,2,0.05,0.1,0.05,0.1,6.7,0.1,0.66376297
3,5,2,3,1,5,0.1,2,6,5,8,1,3,4,7,0.1,0.1,2,0.05,0.2,0.1,0.2,6.7,0.1,0.662276154
4,11,1,3,2,5,0.4,0.5,6,5,8,2,3,2,7,0.4,0.4,1,0.2,0.1,0.05,0.2,3.33,0.1,0.65753877
1,26,1,6,2,5,0.1,2,2,5,8,2,3,1,1.75,0.2,0.4,2,0.2,0.2,0.05,0.2,6.7,0.1,0.646074309
5,4,0.5,6,1,1.25,0.1,2,6,10,8,1,3,4,7,0.1,0.4,1,0.05,0.1,0.05,0.05,6.7,0.1,0.645419344
3,14,2,3,2,5,0.4,0.5,4,5,8,2,3,4,3.5,0.1,0.4,2,0.05,0.1,0.2,0.2,3.33,0.1,0.630338367
6,29,2,1.5,1,2.5,0.1,1,8,5,4,0.5,1.5,1,7,0.2,0.4,1,0.05,0.05,0.1,0.4,20.1,0.1,0.614261651
8,28,2,6,2,1.25,0.1,0.5,4,5,8,0.5,3,1,7,0.1,0.4,0.5,0.05,0.1,0.1,0.1,13.32,0.1,0.612245454
7,26,4,3,0.5,1.25,0.2,0.5,4,10,4,1,3,1,7,0.2,0.8,1,0.1,0.1,0.2,0.1,6.7,0.1,0.609891311
4,16,1,3,2,1.25,0.1,1,4,5,8,4,6,4,7,0.1,0.4,1,0.05,0.1,0.1,0.2,3.33,0.1,0.609530463
7,5,2,3,1,1.25,0.2,1,2,5,16,1,3,2,3.5,0.2,0.4,1,0.05,0.1,0.05,0.1,13.32,0.1,0.602761527
4,13,0.5,3,2,5,0.2,0.5,4,10,8,1,3,1,7,0.2,0.4,1,0.2,0.05,0.05,0.2,3.33,0.1,0.593489988
8,19,4,1.5,2,2.5,0.1,2,4,5,4,1,1.5,1,3.5,0.2,0.4,0.5,0.05,0.1,0.2,0.4,13.32,0.1,0.590078503
8,20,1,3,2,2.5,0.1,2,4,5,8,0.5,1.5,1,7,0.2,0.4,0.5,0.1,0.1,0.05,0.2,13.32,0.1,0.580209745
2,34,2,6,2,1.25,0.1,1,2,5,2,4,12,1,1.75,0.1,0.4,4,0.05,0.05,0.1,0.2,13.32,0.1,0.573775222
3,15,2,3,1,5,0.1,1,2,5,2,1,3,1,7,0.2,0.4,1,0.2,0.2,0.2,0.2,3.33,0.1,0.562710968
1,19,1,12,1,5,0.1,2,4,5,8,1,3,1,7,0.4,0.4,2,0.1,0.05,0.05,0.1,3.33,0.1,0.561543583
1,16,1,6,2,2.5,0.1,2,6,5,8,2,3,1,3.5,0.2,0.1,2,0.2,0.2,0.05,0.2,3.33,0.1,0.551398275
6,26,2,3,2,5,0.1,1,8,5,8,0.5,3,1,3.5,0.2,0.4,1,0.1,0.025,0.1,0.1,13.32,0.1,0.532228315
1,4,0.5,6,1,5,0.2,2,4,10,8,4,3,1,1.75,0.4,0.2,1,0.2,0.05,0.05,0.2,3.33,0.1,0.529730766
1,13,1,6,2,5,0.1,2,2,5,8,1,3,1,1.75,0.1,0.4,1,0.2,0.2,0.05,0.2,6.7,0.1,0.526797435
6,9,1,1.5,1,5,0.2,2,8,5,4,0.5,3,1,7,0.2,0.4,0.5,0.025,0.1,0.2,0.2,6.7,0.1,0.520812828
1,24,1,6,2,2.5,0.1,2,6,20,4,1,3,1,1.75,0.4,0.1,1,0.1,0.05,0.05,0.1,3.33,0.1,0.520451074
4,19,1,3,2,1.25,0.1,0.5,4,10,8,2,6,2,7,0.1,0.4,2,0.1,0.2,0.05,0.2,3.33,0.1,0.497692254
4,29,0.5,3,2,1.25,0.4,0.5,4,5,8,1,6,4,7,0.2,0.4,2,0.05,0.05,0.05,0.2,13.32,0.1,0.48532944
4,24,1,3,2,1.25,0.2,0.5,6,10,8,1,6,2,1.75,0.4,0.4,1,0.2,0.1,0.05,0.2,3.33,0.1,0.479378578
5,18,2,6,1,1.25,0.1,2,6,5,8,4,3,2,3.5,0.2,0.2,1,0.05,0.1,0.05,0.2,6.7,0.1,0.464733473
8,9,2,1.5,2,1.25,0.1,1,4,5,8,2,3,1,7,0.2,0.8,0.5,0.05,0.025,0.2,0.1,13.32,0.1,0.459572857
8,21,1,6,2,1.25,0.2,2,4,5,8,0.5,1.5,1,3.5,0.2,0.8,1,0.025,0.1,0.05,0.2,13.32,0.1,0.456635638
5,25,2,3,1,1.25,0.2,0.5,2,5,8,2,3,1,3.5,0.1,0.4,1,0.2,0.05,0.2,0.05,13.32,0.1,0.43497566
4,5,0.5,6,1,2.5,0.1,1,6,5,8,2,3,1,7,0.4,0.4,1,0.2,0.1,0.1,0.2,3.33,0.1,0.416689127
2,7,2,3,1,2.5,0.1,2,4,10,4,1,3,1,1.75,0.1,0.4,1,0.05,0.05,0.2,0.2,6.7,0.1,0.411050442
